patient_id,best_dice,best_threshold,auroc,hausdorff95,inference_time_s
patient_000,0.2143285572528839,0.18000000000000002,0.7723488837103761,65.95452979136459,5.25
patient_001,0.34320515394210815,0.06999999999999999,0.6519648272056681,63.40346993658943,12.49
patient_002,0.22703717648983002,0.08,0.6746743706817352,63.76519426771944,9.53
patient_003,0.30638551712036133,0.06999999999999999,0.7627242525865605,56.32051136131489,11.86
patient_004,0.3672384023666382,0.21000000000000002,0.7995351553107556,66.76076692189807,7.44
patient_005,0.06875056028366089,0.23,0.8084312685136905,77.85884663928692,3.1
patient_006,0.13612352311611176,0.24000000000000002,0.8395400672541187,86.27861844049197,3.5
patient_007,0.2199014127254486,0.17,0.8117598826042318,68.54195795277518,7.92
patient_008,0.3591306805610657,0.14,0.7803255367509258,57.0350769263968,10.31
patient_009,0.12135680764913559,0.11,0.7818796624410166,64.27285585688566,5.29
patient_010,0.20378543436527252,0.11,0.7589001292522272,66.05300901548695,11.69
patient_011,0.21467392146587372,0.09999999999999999,0.6994487656187108,74.22263805605402,13.53
patient_012,0.41935020685195923,0.09,0.6419089537089657,64.69930447848725,11.26
patient_013,0.50295090675354,0.16,0.8946759381014964,59.55669567731239,4.32
patient_014,0.1703309863805771,0.12,0.7551684061674839,66.04543890383347,7.46
patient_015,0.2146090716123581,0.06999999999999999,0.7539992390334717,54.092513345194085,7.68
patient_016,0.40175557136535645,0.12,0.79761698423589,63.52164985262898,7.03
patient_017,0.20473746955394745,0.09999999999999999,0.667928713628452,67.14908785679818,12.13
patient_018,0.08503797650337219,0.16,0.6863544464967624,88.50988645343524,9.81
patient_019,0.2196538895368576,0.16,0.7617592638401712,67.00746227100382,7.75
patient_020,0.08887454122304916,0.09,0.6877708344830629,70.8590149522275,6.33
patient_021,0.22631147503852844,0.06999999999999999,0.6621572057227463,70.35623639735144,9.6
patient_022,0.36399388313293457,0.060000000000000005,0.6603803179122479,62.49799996799898,11.29
patient_023,0.20628131926059723,0.15000000000000002,0.6389883684434339,68.57113095173507,9.93
patient_024,0.38212886452674866,0.18000000000000002,0.8140911566776757,60.340699366182356,8.78
patient_025,0.12948490679264069,0.21000000000000002,0.7080808250218912,69.05794668247819,6.64
patient_026,0.26408982276916504,0.05,0.6172967979991327,72.94518489934754,14.07
patient_027,0.19875521957874298,0.06999999999999999,0.662709927759281,69.6419413859206,11.69
patient_028,0.061089880764484406,0.14,0.7523150475229659,80.85171612278863,6.17
patient_029,0.09029987454414368,0.12,0.7236588987949476,79.98749902328488,5.48
patient_030,0.11006416380405426,0.11,0.6890841326346907,74.36396977031282,8.33
patient_031,0.2018333226442337,0.12,0.7057991490761787,73.76313442364011,10.87
patient_032,0.3132101893424988,0.11,0.6868843550088232,71.78439941937245,8.05
patient_033,0.5066797733306885,0.31,0.8995958964923729,48.84669896727925,3.81
patient_034,0.35788068175315857,0.11,0.7311773421144184,63.51377803280167,10.07
patient_035,0.3265727758407593,0.14,0.8119153534522792,49.29503017546495,2.47
patient_036,0.33859512209892273,0.15000000000000002,0.7643474379346793,72.92461861401813,8.12
patient_037,0.3208554983139038,0.15000000000000002,0.6998956857865598,63.419239982831705,8.7
patient_038,0.097758948802948,0.15000000000000002,0.7416363542001443,76.87002016391045,8.93
patient_039,0.3414277732372284,0.22,0.7668072117117488,62.90468980926621,10.02
patient_040,0.3163314461708069,0.060000000000000005,0.627717425653019,64.1404708432983,9.69
patient_041,0.05765195190906525,0.14,0.7489728380475785,69.29646455628166,5.98
patient_042,0.30918315052986145,0.16,0.7385094020283546,72.29799443968,11.24
patient_043,0.12466827780008316,0.22,0.8524851979512749,72.40165743959182,2.46
patient_044,0.207689106464386,0.06999999999999999,0.6568252467720136,67.09694478886502,13.27
patient_045,0.12475521862506866,0.18000000000000002,0.7556286988542698,75.21303078589507,6.88
patient_046,0.427829384803772,0.28,0.8635045670832578,49.4064773081425,4.98
patient_047,0.4600040316581726,0.24000000000000002,0.851792090437911,66.05300901548695,4.11
patient_048,0.2658947706222534,0.16,0.7661056908268077,67.26068688320095,9.29
patient_049,0.26417675614356995,0.16,0.8213274967643049,64.28841264178172,4.38
